1;Basics; Hello. ; 你好.; Néih hóu.;file:///android_asset/basics.png
2;Basics; How are you? ; 你好嗎?; Néih hóu ma?;file:///android_asset/basics.png
3;Basics; How are you recently? (''more popular in daily usage''); 近排點呀?; Gahnpàaih dím a? (''informal'');file:///android_asset/basics.png
4;Basics; Fine. ; 好.; Hóu.;file:///android_asset/basics.png
5;Basics; What is your name? ; 你叫乜嘢名呀?; Néih giu māt'yéh mèhng a?;file:///android_asset/basics.png
6;Basics;" What is your name (''formal, literally means ""How do I address you""'')? "; 請問點稱呼?; Chíngmahn dím chīngfū?;file:///android_asset/basics.png
7;Basics; My name is ______ . ; 我個名叫______.; Ngóh go méng giu ______ .;file:///android_asset/basics.png
8;Basics; Nice to meet you. ; 幸會.; Hahng'wúih.;file:///android_asset/basics.png
9;Basics; Please. ; 請.; Chíng.;file:///android_asset/basics.png
10;Basics; Thank you. (''when someone helps you'') ; 唔該.; M̀h'gōi.;file:///android_asset/basics.png
11;Basics; Thank you. (''when someone gives you a gift'') ; 多謝; Dōjeh.;file:///android_asset/basics.png
12;Basics; You're welcome. ; 唔使客氣.; M̀h'sái haak-hei.;file:///android_asset/basics.png
13;Basics; Excuse me. (''getting attention'') ; 唔好意思.; M̀h'hóu yisi;file:///android_asset/basics.png
14;Basics; Excuse me. (''to get past'') ; 唔該.; M̀h'gōi;file:///android_asset/basics.png
15;Basics; Sorry. ; 對唔住.; Deui-m̀h-jyuh.;file:///android_asset/basics.png
16;Basics; Goodbye (''formal'') ; 再見; Joigin. ;file:///android_asset/basics.png
17;Basics; Goodbye (''informal'') ; 拜拜; Bāaibaai.;file:///android_asset/basics.png
18;Basics; I can't speak Cantonese. ; 我唔識講廣東話.; Ngóh m̀h'sīk góng Gwóngdōngwá.;file:///android_asset/basics.png
19;Basics; Do you speak English? ; 你識唔識講英文呀?; Néih sīk-m̀h-sīk góng Yīngmán a?;file:///android_asset/basics.png
20;Basics; Is there someone here who speaks English? ; 呢度有冇人識講英文呀?; nī douh yáuh móuh yàhn sīk góng Yīngmán a? ;file:///android_asset/basics.png
21;Basics; Help! ; 救命呀!; Gau mehng ā! ;file:///android_asset/basics.png
22;Basics; Look out! ; 小心!; Síusām! ;file:///android_asset/basics.png
23;Basics; Good morning. ; 早晨.; Jóusàhn.;file:///android_asset/basics.png
24;Basics; I don't understand. ; 我唔明.; Ngóh m̀h'mìhng.;file:///android_asset/basics.png
25;Basics; Where is the toilet? ; 廁所喺邊度呀?; Chi só hái bīn douh a?;file:///android_asset/basics.png
26;Problems; Leave me alone. ; 唔好搞我.; M̀h'hóu gáau ngóh. ;file:///android_asset/warning.png
27;Problems; Don't touch me! ; 唔好掂我!; M̀h'hóu dihm ngóh!;file:///android_asset/warning.png
28;Problems; I'll call the police. ; 我會叫警察.; Ngóh wúih giu gíngchaat.;file:///android_asset/warning.png
29;Problems; Police! ; 警察!; Gíngchaat!;file:///android_asset/warning.png
30;Problems; Stop! Thief! ; 咪走!  賊仔!;Máih jáu! Chaahkjái!;file:///android_asset/warning.png
31;Problems; Please help me. ; 唔該幫我.; M̀h'gōi bōng ngóh.;file:///android_asset/warning.png
32;Problems; It's an emergency. ; 好緊急.; Hóu gán'gāp.;file:///android_asset/warning.png
33;Problems; I'm lost. ; 我蕩失路.; Ngóh dohngsāt louh.;file:///android_asset/warning.png
34;Problems; I lost my bag. ; 我唔見咗個袋.; Ngóh m̀h'gin jó go doih.;file:///android_asset/warning.png
35;Problems; I dropped my wallet. ; 我跌咗個銀包.; Ngóh dit jó go ngàhn bāau.;file:///android_asset/warning.png
36;Problems; I don't feel well. ; 我唔舒服.; Ngóh m̀h syūfuhk.;file:///android_asset/warning.png
37;Problems; I've been injured. ; 我受咗傷.; Ngóh sauh jó sēung.;file:///android_asset/warning.png
38;Problems; Please call a doctor. ; 唔該幫我叫醫生.; M̀h'gōi bōng ngóh giu yīsāng.;file:///android_asset/warning.png
39;Problems; Can I use your phone? ; 可唔可以借個電話用呀?; Hó-m̀h-hó'yi je go dihnwáh yuhng a?;file:///android_asset/warning.png
40;Problems; I haven't done anything wrong. ; 我冇做錯野.; Ngóh móuh jouh cho yéh.;file:///android_asset/warning.png
41;Problems; It was a misunderstanding. ; 件事係誤會.; Ginh sih haih ngh-wuih.;file:///android_asset/warning.png
42;Problems; Where are you taking me? ; 你帶我去邊?; Néih daai ngóh heui bīn?;file:///android_asset/warning.png
43;Problems; Am I under arrest? ; 我係唔係俾人拉左呀?; Ngóh haih-m̀h-haih béi yàhn lāai jó a?;file:///android_asset/warning.png
44;Problems; I am an American/Australian/British/Canadian citizen. ; 我係 美國/澳州/英國/加拿大 公民.; Ngóh haih Méihgwok/Oujāu/Yīng'gwok/Gānàhdaaih gūngmàhn.;file:///android_asset/warning.png
45;Problems; I want to talk to the American/Australian/British/Canadian embassy/consulate. ; 我要搵 美國/澳州/英國/加拿大 大使館/領事館.; Ngóh yiu wán Méihgwok/Oujāu/Yīng'gwok/Gānàhdaaih daaihsigún/líhngsihgún.;file:///android_asset/warning.png
46;Problems; I want to talk to a lawyer. ; 我要搵律師.; Ngóh yiu wán leuhtsī.;file:///android_asset/warning.png
47;Problems; Can I just pay a fine now? ; 可唔可以就咁罰錢呀?; Hó-m̀h-hó'yi jauh gám faht chín?;file:///android_asset/warning.png
48;Numbers; 1 ; 一; yāt;file:///android_asset/numbers.png
49;Numbers; 2 ; 二; yih;file:///android_asset/numbers.png
50;Numbers; 3 ; 三; sāam;file:///android_asset/numbers.png
51;Numbers; 4 ; 四; sei;file:///android_asset/numbers.png
52;Numbers; 5 ; 五; ńgh;file:///android_asset/numbers.png
53;Numbers; 6 ; 六; luhk;file:///android_asset/numbers.png
54;Numbers; 7 ; 七; chāt;file:///android_asset/numbers.png
55;Numbers; 8 ; 八; baat;file:///android_asset/numbers.png
56;Numbers; 9 ; 九; gáu;file:///android_asset/numbers.png
57;Numbers; 10; 十; sahp;file:///android_asset/numbers.png
58;Numbers; 11 ; 十一; sahpyāt;file:///android_asset/numbers.png
59;Numbers; 12 ; 十二; sahpyih;file:///android_asset/numbers.png
60;Numbers; 13 ; 十三; sahpsāam;file:///android_asset/numbers.png
61;Numbers; 14 ; 十四; sahpsei;file:///android_asset/numbers.png
62;Numbers; 15 ; 十五; sahpńgh;file:///android_asset/numbers.png
63;Numbers; 16 ; 十六; sahpluhk;file:///android_asset/numbers.png
64;Numbers; 17 ; 十七; sahpchāt;file:///android_asset/numbers.png
65;Numbers; 18 ; 十八; sahpbaat;file:///android_asset/numbers.png
66;Numbers; 19 ; 十九; sahpgáu;file:///android_asset/numbers.png
67;Numbers; 20 ; 二十; yihsahp;file:///android_asset/numbers.png
68;Numbers; 21 ; 二十一; yihsahpyāt;file:///android_asset/numbers.png
69;Numbers; 22 ; 二十二; yihsahpyih;file:///android_asset/numbers.png
70;Numbers; 23 ; 二十三; yihsahpsāam;file:///android_asset/numbers.png
71;Numbers; 30 ; 三十; sāamsahp ;file:///android_asset/numbers.png
72;Numbers; 40 ; 四十; seisahp ;file:///android_asset/numbers.png
73;Numbers; 50 ; 五十; ńghsahp ;file:///android_asset/numbers.png
74;Numbers; 60 ; 六十; luhksahp ;file:///android_asset/numbers.png
75;Numbers; 70 ; 七十; chātsahp ;file:///android_asset/numbers.png
76;Numbers; 80 ; 八十; baatsahp ;file:///android_asset/numbers.png
77;Numbers; 90 ; 九十; gáusahp ;file:///android_asset/numbers.png
78;Numbers; 100 ; 一百; yātbaak;file:///android_asset/numbers.png
79;Numbers; 200 ; 二百; yihbaak;file:///android_asset/numbers.png
80;Numbers; 300 ; 三百; sāambaak;file:///android_asset/numbers.png
81;Numbers; 1000 ; 一千; yātchīn;file:///android_asset/numbers.png
82;Numbers; 2000 ; 二千; yihchīn;file:///android_asset/numbers.png
83;Numbers;" 10,000 "; 一萬; yātmaahn;file:///android_asset/numbers.png
84;Numbers;" 100,000 "; 十萬; sahpmaahn;file:///android_asset/numbers.png
85;Numbers;" 1,000,000 "; 一百萬; yātbaakmaahn;file:///android_asset/numbers.png
86;Numbers;" 10,000,000 "; 一千萬; yātchīnmaahn;file:///android_asset/numbers.png
87;Numbers;" 100,000,000 "; 一億; yātyīk;file:///android_asset/numbers.png
88;Numbers;" 1,000,000,000 "; 十億; sahpyīk;file:///android_asset/numbers.png
89;Numbers;" 10,000,000,000 "; 一百億; yātbaakyīk;file:///android_asset/numbers.png
90;Numbers;" 100,000,000,000 "; 一千億; yātchīnyīk;file:///android_asset/numbers.png
91;Numbers;" 1,000,000,000,000 "; 一兆; yātsiuh;file:///android_asset/numbers.png
92;Numbers;" number _____ (train, bus, etc.) "; _____號; houh;file:///android_asset/numbers.png
93;Numbers; half ; 半; bun;file:///android_asset/numbers.png
94;Numbers; less ; 小; síu;file:///android_asset/numbers.png
95;Numbers; more ; 多; dō;file:///android_asset/numbers.png
96;Time; now ; 而家; yīgā;file:///android_asset/time.png
97;Time; late ; 遲; chìh;file:///android_asset/time.png
98;Time; early ; 早; jóu;file:///android_asset/time.png
99;Time; morning ; 朝早 ;jīujóu;file:///android_asset/time.png
100;Time; afternoon ; 晏晝; ngaanjau;file:///android_asset/time.png
101;Time; evening ; 夜晚; yeh máahn;file:///android_asset/time.png
102;Time; one o'clock ; 一點; yāt dím;file:///android_asset/time.png
103;Time; two o'clock ; 兩點; léuhng dím;file:///android_asset/time.png
104;Time; two five ; 兩點一 / 兩點踏一 ;léuhng dím yāt/léuhng dím daahp yāt;file:///android_asset/time.png
105;Time; two ten ; 兩點二 / 兩點踏二 ;léuhng dím yih/léuhng dím daahp yih;file:///android_asset/time.png
106;Time; two fifteen/Quarter past two ; 兩點三 / 兩點踏三 ;léuhng dím sāam/léuhng dím daahp sāam;file:///android_asset/time.png
107;Time; two thirty/Half past two ; 兩點'''半'''; léuhng dím '''bun''';file:///android_asset/time.png
108;Time; two forty-five/Quarter to three ; 兩點九 / 兩點踏九; léuhng dím gáu/léuhng dím daahp gáu;file:///android_asset/time.png
109;Time; two fifty ; 兩點十 / 兩點踏十 ;léuhng dím sahp/léuhng dím daahp sahp;file:///android_asset/time.png
110;Time; two fifty-five ; 兩點踏十一; léuhng dím daahp sahpyāt;file:///android_asset/time.png
111;Time; two fifty-seven ; 兩點五十七分; léuhng dím ńghsahpchāt fān;file:///android_asset/time.png
112;Time; _____ minute(s) ; _____ 分鐘; fānjūng;file:///android_asset/time.png
113;Time; _____ hour(s) ; _____ 個鐘; gor jūng;file:///android_asset/time.png
114;Time; _____ day(s) ; _____ 日 ;yaht;file:///android_asset/time.png
115;Time; _____ week(s) ; _____ 個禮拜; gor láihbaai;file:///android_asset/time.png
116;Time; _____ month(s) ; _____ 個月; gor yuht;file:///android_asset/time.png
117;Time; _____ year(s) ; _____ 年 ;nìhn;file:///android_asset/time.png
118;Time; today ; 今日; gām'yaht;file:///android_asset/time.png
119;Time; yesterday ; 尋日; chàhm'yaht;file:///android_asset/time.png
120;Time; tomorrow ; 聽日; tīngyaht;file:///android_asset/time.png
121;Time; the day before last ; 前日; chìhnyaht;file:///android_asset/time.png
122;Time; the day after tomorrow ; 後日; hauh'yaht;file:///android_asset/time.png
123;Time; this week ; 今個禮拜; gām go láihbaai;file:///android_asset/time.png
124;Time; last week ; 上個禮拜; seuhng go láihbaai;file:///android_asset/time.png
125;Time; next week ; 下個禮拜; hah go láihbaai;file:///android_asset/time.png
126;Time; Sunday ; 禮拜日 / 星期日; láihbaai yaht /  sing1 kei4 yaht ;file:///android_asset/time.png
